,0
HPW271,101730.0
HPW302,63543.0
HPW316,58817.0
HPW273,54959.0
HPW321,53991.0
HPW319,51212.0
HPW258,50611.0
HPW201,49884.0
HPW301,49318.0
HPW076,48387.0
HPW277,48359.0
HPW232,47401.0
HPW304,47124.0
HPW249,45513.0
HPW225,45265.0
HPW142,45066.0
HPW291,44668.0
HPW315,43500.0
HPW216,43315.0
HPW140,43257.0
HPW278,42931.0
HPW263,42663.0
HPW107,42141.0
HPW064,41989.0
HPW264,41164.0
HPW251,41068.0
HPW134,40912.0
HPW285,40862.0
HPW281,40713.0
HPW322,40598.0
HPW175,40225.0
HPW101,40122.0
HPW229,40011.0
HPW234,39856.0
HPW253,39259.0
HPW069,39125.0
HPW289,38789.0
HPW228,38312.0
HPW135,38145.0
HPW171,38079.0
HPW237,38037.0
HPW165,38034.0
HPW209,37858.0
HPW162,37825.0
HPW090,37693.0
HPW182,37670.0
HPW143,37622.0
HPW061,37132.0
HPW217,36926.0
HPW125,36826.0
HPW313,36665.0
HPW284,36615.0
HPW106,36517.0
HPW272,36301.0
HPW161,36125.0
HPW155,36098.0
HPW242,35869.0
HPW129,35698.0
HPW318,35690.0
HPW183,35438.0
HPW226,35336.0
HPW235,35215.0
HPW218,35115.0
HPW308,34987.0
HPW092,34581.0
HPW074,34503.0
HPW288,34143.0
HPW248,34140.0
HPW310,33944.0
HPW293,33879.0
HPW111,33787.0
HPW224,33687.0
HPW231,33502.0
HPW191,32594.0
HPW202,32554.0
HPW066,32468.0
HPW230,32341.0
HPW073,32314.0
HPW294,31974.0
HPW307,31884.0
HPW091,31856.0
HPW282,31762.0
HPW149,31668.0
HPW269,31609.0
HPW112,31496.0
HPW067,31430.0
HPW159,31346.0
HPW150,31218.0
HPW190,31182.0
HPW275,31114.0
HPW240,30846.0
HPW177,30755.0
HPW245,30489.0
HPW262,30440.0
HPW158,30428.0
HPW118,30370.0
HPW141,30354.0
HPW103,30223.0
HPW283,29930.0
HPW208,29786.0
HPW132,29711.0
HPW085,29655.0
HPW238,29651.0
HPW139,29620.0
HPW311,29407.0
HPW241,29389.0
HPW185,29182.0
HPW223,29173.0
HPW206,29159.0
HPW086,29157.0
HPW137,29090.0
HPW286,29040.0
HPW250,29011.0
HPW257,28529.0
HPW123,28391.0
HPW147,28349.0
HPW259,28208.0
HPW211,27981.0
HPW192,27920.0
HPW113,27885.0
HPW215,27740.0
HPW287,27738.0
HPW130,27732.0
HPW079,27527.0
HPW210,27290.0
HPW128,27274.0
HPW168,27191.0
HPW309,27147.0
HPW176,27093.0
HPW164,27007.0
HPW268,26982.0
HPW172,26701.0
HPW114,26617.0
HPW186,26380.0
HPW187,26274.0
HPW280,26202.0
HPW189,26066.0
HPW213,25952.0
HPW081,25820.0
HPW070,25526.0
HPW317,25421.0
HPW084,25246.0
HPW174,25167.0
HPW160,25134.0
HPW068,25110.0
HPW071,25062.0
HPW152,24967.0
HPW295,24955.0
HPW145,24684.0
HPW244,24661.0
HPW156,24640.0
HPW110,24399.0
HPW212,24086.0
HPW169,23816.0
HPW065,23620.0
HPW173,23385.0
HPW144,23379.0
HPW266,23091.0
HPW227,23069.0
HPW157,22906.0
HPW214,22872.0
HPW102,22732.0
HPW314,22639.0
HPW246,22626.0
HPW109,22460.0
HPW062,22452.0
HPW153,22441.0
HPW220,22329.0
HPW290,22294.0
HPW303,22254.0
HPW154,22121.0
HPW089,22090.0
HPW124,22042.0
HPW120,21805.0
HPW131,21753.0
HPW203,21719.0
HPW082,21700.0
HPW126,21607.0
HPW163,21605.0
HPW274,21404.0
HPW204,20984.0
HPW121,20889.0
HPW170,20859.0
HPW276,20835.0
HPW320,20825.0
HPW148,20619.0
HPW239,20345.0
HPW260,20306.0
HPW254,20264.0
HPW306,20205.0
HPW247,20194.0
HPW087,20156.0
HPW296,20063.0
HPW127,20050.0
HPW060,19673.0
HPW261,19578.0
HPW117,19483.0
HPW075,19197.0
HPW166,18838.0
HPW108,18754.0
HPW305,18505.0
HPW167,18362.0
HPW063,18237.0
HPW312,18125.0
HPW233,18124.0
HPW083,18076.0
HPW133,17885.0
HPW115,17799.0
HPW136,17636.0
HPW105,17454.0
HPW181,17441.0
HPW255,17376.0
HPW279,17023.0
HPW207,16985.0
HPW205,16979.0
HPW096,16769.0
HPW267,16509.0
HPW222,15956.0
HPW178,15631.0
HPW095,15544.0
HPW196,15259.0
HPW088,14952.0
HPW119,14773.0
HPW265,14563.0
HPW151,14232.0
HPW221,13855.0
HPW236,13755.0
HPW219,13682.0
HPW195,13628.0
HPW252,13192.0
HPW184,13108.0
HPW122,13076.0
HPW256,12662.0
HPW072,12582.0
HPW243,12479.0
HPW180,12309.0
HPW104,11652.0
HPW078,11625.0
HPW188,11587.0
HPW292,11511.0
HPW179,11124.0
HPW146,10921.0
HPW077,9932.0
HPW138,9873.0
HPW094,8977.0
HPW080,7697.0
HPW093,7034.0
HPW116,6833.0
HPW194,6285.0
HPW193,5432.0
HPW270,391.0
