sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
C1d-noName-C42.2-C1-noName,10,-0.4659204809045759,0.003681208549452575,0.2012028300399263,0.006494693971447763,0.03589933530782123,0.1355426993877687,0.001670302283788677,0.007414579849071524,-0.0015634686690843343,-0.0,0.0
C1d/C42.2-C1-C3cg,11,-0.49159975566564246,-0.004357611175920298,0.04603795641193734,-0.0027370324439167366,-0.06000789168288256,-0.039441538634304066,-0.01293137775941442,-0.07175044911760599,0.006749865543001204,-0.0,0.0
C31-C17d-C31.1-C21-C31a-noName,12,0.4689561552237048,-0.01466391219873445,-0.0017682089076465559,0.2566555414516694,-0.029782407163406112,0.0055274282687996215,0.008623400384710893,-0.00392097134321612,-0.024374396589028506,-0.0,0.0
C1d-noName-C42.2-C1,13,-0.4894070502542711,-0.004396177638823296,0.04866957788478469,-0.0022412544299923783,-0.06152575098164472,-0.06799237934264368,0.02078825462836056,0.06890122785832478,0.0009467390327307897,-0.0,0.0
C31/C17d-C21-C21ac-C31.9,14,0.49010388611706146,-0.11320812816636071,0.014803432545927038,-0.09998115095930399,-0.010657975784786649,0.005309281254295858,0.08198555314499335,-0.018578413472250463,0.006451503474780504,-0.0,0.0
C1d-C31-C42.2-C1,15,-0.31125102122753384,0.026916178536599396,0.07048868056342006,-0.00259481136006892,0.017458270825949862,-0.0720183108807908,-0.009671416629207147,-0.009201685886025535,-0.00782979449818693,-0.0,0.0
C1d/C31/C17d-2099_C,16,-0.08658449451106728,-0.13351131343185368,-0.0699008551141943,0.034074886923328676,0.16954934808462274,-0.04267332348788071,-0.001926021424902245,0.0011754559119697956,0.008106464983641197,-0.0,0.0
C31-C17d-C21-C21ac-C31a-C17e,18,0.4982480819036219,-0.09278244879943379,0.011601533011273504,0.02568592801056059,-0.039591601222547686,0.013868933713907156,-0.03866411825470307,0.013389413895177137,0.050461537862759115,-0.0,0.0
C31/C17d-C21-C21ac-C17e-C17f-C31.9,19,0.47606427256222394,-0.17596299427827083,0.01977295467823361,-0.1479782179126563,-0.014350010566051265,0.0018716749208668214,-0.045973973109046,0.00822138101622582,-0.03576177174608714,-0.0,0.0
C1d,20,-0.4361309989930886,-0.01270712456998921,-0.3227661790884992,-0.015864116279196296,-0.032421569706632306,0.06313071638889714,0.000383997491507313,0.0025674393400766525,-0.0032879075586316783,-0.0,0.0
C31,21,0.34752140574956675,0.5209923231733343,-0.018141722025162628,-0.051514466971872404,0.02543025288955801,-0.0031251815889154493,-0.004284600756084304,0.0017820219482527634,0.00010122816410738911,-0.0,0.0
proportion_explained,0,0.7426632903466961,0.12426997010473795,0.05803172889000518,0.0371772850094589,0.015297716957969738,0.012980936140708466,0.004032055754011055,0.0038621351294841452,0.0016848816669284635,0.0,0.0
